LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price
C9418,LM358DT,STMicroelectronics,U7,SOIC-8_150mil,"General Purpose Amplifiers General Purpose 2 3V ~ 32V, ±1.5V ~ 16V 1.1MHz 0.6 V/us SOIC-8_150mil RoHS",Yes,10,10\10,$0.0591
C10418,C10418,Jing Extension of the Electronic Co.,J2,SMD,USB Connectors SMD RoHS,Yes,10,5\5,$0.0576
C11958,EVM3ESX50B25,PANASONIC,RV1,3*3SMD,Variable Resistors ±25% 3*3SMD RoHS,Yes,10,10\10,$0.0646
C14241,AMS1086CD-3.3,Advanced Monolithic Systems,U1,TO-252-2(DPAK),Low Dropout Regulators(LDO) Positive Fixed 1.5V @ 1.5A 15V 3.3V 1.5A TO-252-2(DPAK) RoHS,Yes,10,1\1,$0.3348
C15785,0805W8F5603T5E,Uniroyal Elec,R6,0805,Chip Resistor - Surface Mount 560KOhms ±1% 1/8W 0805 RoHS,Yes,100,100\100,$0.0015
C17436,0805W8F1203T5E,Uniroyal Elec,R5,0805,Chip Resistor - Surface Mount 120KOhms ±1% 1/8W 0805 RoHS,Yes,100,100\100,$0.0016
C17513,0805W8F1001T5E,Uniroyal Elec,"R16, R17, R18,",0805,Chip Resistor - Surface Mount 1KOhms ±1% 1/8W 0805 RoHS,Yes,100,100\100,$0.0014
C17657,0805W8F3923T5E,Uniroyal Elec,"R14,",0805,Chip Resistor - Surface Mount 392KOhms ±1% 1/8W 0805 RoHS,Yes,100,100\100,$0.0018
C21353,MBR0540T1G,ON Semicon,"D3, D2, D1",SOD-123,Schottky Barrier Diodes (SBD) SOD-123 RoHS,Yes,30,10\10,$0.0432
C26112,0805W8F2004T5E,Uniroyal Elec,R4,0805,Chip Resistor - Surface Mount 2MOhms ±1% 1/8W 0805 RoHS,Yes,100,100\100,$0.0019
C35445,C35445,Boom Precision Elec,J3,2.54mm,Pin Header & Female Header 2.54mm RoHS,Yes,10,10\10,$0.0479
C69335,CL10A475KA8NQNC,Samsung Electro-Mechanics,C1,0603,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7uF 25V 0603 RoHS,Yes,20,20\20,$0.025
C77386,GRM188R61H105KAALD,Murata Electronics,"C12,C9,C11,C10,C18",0603,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1uF 50V 0603 RoHS,Yes,40,20\20,$0.0185
C84376,RC0805FR-0710KL,YAGEO,"R2,R3,R1,R13,R10,R12",0805,Chip Resistor - Surface Mount 10KOhms ±1% 1/8W 0805 RoHS,Yes,100,100\100,$0.0015
C95209,ESP32-WROOM-32,Espressif Systems,U5,Module,WIFI Modules Module RoHS,Yes,5,1\1,$3.197
C96446,CL10A106MA8NRNC,Samsung Electro-Mechanics,"C2, C3, C15",0603,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 25V 0603 RoHS,Yes,40,20\20,$0.0286
C108996,CH330N,Jiangsu Qin Heng,U6,SOP-8_150mil,USB ICs SOP-8_150mil RoHS,Yes,10,1\1,$0.3197
C113306,RC0805FR-0739KL,YAGEO,"R7, R8, R9,",0805,Chip Resistor - Surface Mount 39KOhms ±1% 1/8W 0805 RoHS,Yes,50,50\50,$0.0047
C114564,RC0805FR-07470RL,YAGEO,"R11, R15,",0805,Chip Resistor - Surface Mount 470Ohms ±1% 1/8W 0805 RoHS,Yes,50,50\50,$0.0036
C139827,CJ7815,Changjiang Electronics Tech (CJ),U4,TO-252-2(DPAK),Linear Voltage Regulators TO-252-2(DPAK) RoHS,Yes,10,1\1,$0.1136
C142303,17-21SYGC/S530-E3/TR8,Everlight Elec,"D4, RXD1, TXD1",0805,Light Emitting Diodes (LED) Green-yellow 573nm 32mcd Surface Mount 0805 RoHS,Yes,40,20\20,$0.0195
C161220,GCM188R71H102KA37D,Murata Electronics,"C16, C17, C19",0603,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1nF 50V 0603 RoHS,Yes,50,50\50,$0.0047
C170138,CL10C101KB8NNNC,Samsung Electro-Mechanics,C8,0603,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100pF 50V 0603 RoHS,Yes,50,50\50,$0.0041
C177738,CJ7915,Changjiang Electronics Tech (CJ),U3,TO-252-2(DPAK),Linear Voltage Regulators TO-252-2(DPAK) RoHS,Yes,10,1\1,$0.1394
C188679,0603B334K500NT,Guangdong Fenghua Advanced Tech,"C7, C6",0603,Multilayer Ceramic Capacitors MLCC - SMD/SMT 330nF 50V 0603 RoHS,Yes,20,20\20,$0.0219
C206323,SLW6028S220MST,Sunltech Tech,"L1, L2,","SMD,6x6x2.8mm","Power Inductors 22uH ±20% 1.4A SMD,6x6x2.8mm RoHS",Yes,10,5\5,$0.0776
C231420,XF2M-3315-1A,Omron Electronics,J1,"SMD,P=0.5mm","FFC, FPC Connectors SMD,P=0.5mm RoHS",Yes,10,1\1,$0.9212
C307509,CL10C4R7BB8NNNC,Samsung Electro-Mechanics,C5,0603,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7pF 50V 0603 RoHS,Yes,50,50\50,$0.0063
C318884,TS-1187A-B-A-B,XKB Enterprise,"BOOT1, RESET1",SMD,Tactile Switches SPST 5.10mm x 5.10mm 0.40mm 50mA @ 12VDC SMD RoHS,Yes,20,20\20,$0.021
C326331,SNR6020K-220M,3L COILS,"L1, L2,","SMD,6.0x6.0mm","Inductors (SMD) SMD,6.0x6.0mm RoHS",Yes,10,1\1,$0.0924
C347504,IRLML6402,"Youtai Semiconductor Co., Ltd.",Q1,SOT-23,"MOSFET P Trench 20V 3.7A 950mV @ 250uA 65 mΩ @ 3.7A,4.5V SOT-23 RoHS",Yes,10,10\10,$0.0442
C408909,AC0603KRX7R0BB104,YAGEO,"C4, C14, C13",0603,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 100V 0603 RoHS,Yes,40,20\20,$0.0179
-,LT1945EMS,Linear Technology,U2,MSOP-10,Converter with Positive and Negative Outputs,,10,,
