Designator,Mid X,Mid Y,Layer,Rotation
BOOT1,74.214500mm,-23.097000mm,Top,180
C1,32.622000mm,-26.653000mm,Top,270
C2,37.702000mm,-49.386000mm,Top,180
C3,41.004000mm,-49.386000mm,Top,180
C4,36.559000mm,-36.432000mm,Top,90
C5,48.992300mm,-21.738100mm,Top,90
C6,58.314100mm,-48.331900mm,Top,270
C7,59.038000mm,-42.147000mm,Top,180
C8,40.750000mm,-36.940000mm,Top,270
C9,58.149000mm,-27.796000mm,Top,180
C10,60.790600mm,-45.156900mm,Top,270
C11,51.570400mm,-33.485600mm,Top,90
C12,44.750500mm,-35.403300mm,Top,270
C13,27.542000mm,-34.019000mm,Top,180
C14,27.542000mm,-35.543000mm,Top,180
C15,67.801000mm,-47.100000mm,Top,270
C16,61.070000mm,-48.370000mm,Top,90
C17,74.405000mm,-49.132000mm,Top,0
C18,71.230000mm,-49.132000mm,Top,0
D1,45.563300mm,-21.039600mm,Top,180
D2,34.247600mm,-39.607000mm,Top,0
D3,39.543500mm,-39.657800mm,Top,0
J1,116.137200mm,-37.727400mm,Top,270
J2,30.463000mm,-21.065000mm,Top,180
L1,37.575000mm,-30.717000mm,Top,90
L2,39.175200mm,-23.173200mm,Top,180
Q1,46.211000mm,-25.383000mm,Top,270
R1,104.000000mm,-47.800000mm,Top,270
R2,54.212000mm,-29.066000mm,Top,90
R3,51.799000mm,-29.066000mm,Top,90
R4,51.087800mm,-21.738100mm,Top,270
R5,51.087800mm,-25.230600mm,Top,270
R6,42.655000mm,-36.688300mm,Top,90
R7,42.655000mm,-33.180800mm,Top,90
R8,58.631600mm,-45.093400mm,Top,90
R9,53.729400mm,-33.485600mm,Top,90
R10,64.880000mm,-45.322000mm,Top,0
R11,80.945500mm,-21.255500mm,Top,180
R12,64.880000mm,-47.608000mm,Top,180
R13,97.773000mm,-24.430500mm,Top,0
R14,64.800000mm,-22.600000mm,Top,180
R15,93.724000mm,-24.430500mm,Top,0
RESET1,63.483000mm,-38.845000mm,Top,90
RV1,57.006000mm,-23.478000mm,Top,270
U1,37.956000mm,-44.560000mm,Top,0
U2,46.033200mm,-29.116800mm,Top,180
U3,51.418000mm,-46.592000mm,Top,180
U4,51.418000mm,-39.480000mm,Top,180
U5,76.259200mm,-37.727400mm,Top,90
U6,28.685000mm,-28.812000mm,Top,270
U7,64.000000mm,-26.600000mm,Top,180
U8,107.247200mm,-32.139400mm,Top,0
U9,119.800000mm,-22.800000mm,Top,90
