Designator,Val,Package,"Mid X","Mid Y","Rotation","Layer"
"BOOT1","SW2","SW_TS-1187A",75.100000,-22.800000,180.000000,top
"C1","4.7uF","C_0603_1608Metric",32.622000,-26.653000,270.000000,top
"C2","10uF","C_0603_1608Metric",53.800000,-22.000000,90.000000,top
"C3","10uF","C_0603_1608Metric",60.700000,-21.900000,270.000000,top
"C4","0.1uF","C_0603_1608Metric",36.559000,-36.432000,90.000000,top
"C5","4.7pF","C_0603_1608Metric",48.992300,-21.738100,90.000000,top
"C6","4.7uF","C_0603_1608Metric",54.900000,-32.000000,0.000000,top
"C7","0.1uF","C_0603_1608Metric",56.300000,-45.300000,270.000000,top
"C8","100pF","C_0603_1608Metric",40.750000,-36.940000,270.000000,top
"C9","1uF","C_0603_1608Metric",53.800000,-26.200000,180.000000,top
"C10","4.7pF","C_0603_1608Metric",46.500000,-41.700000,270.000000,top
"C11","100pF","C_0603_1608Metric",59.300000,-39.400000,90.000000,top
"C12","1uF","C_0603_1608Metric",45.300000,-35.300000,180.000000,top
"C13","0.1uF","C_0603_1608Metric",32.600000,-36.500000,270.000000,top
"C14","0.1uF","C_0603_1608Metric",26.800000,-33.300000,180.000000,top
"C15","1nF","C_0603_1608Metric",84.700000,-49.500000,180.000000,top
"C16","1nF","C_0603_1608Metric",57.400000,-48.600000,270.000000,top
"C17","10uF","C_0603_1608Metric",74.000000,-48.600000,90.000000,top
"C18","1uF","C_0603_1608Metric",71.800000,-48.600000,270.000000,top
"C19","1uF","C_0603_1608Metric",46.500000,-44.800000,90.000000,top
"C20","1uF","C_0603_1608Metric",58.100000,-35.700000,270.000000,top
"D1","MBR0540","D_SOD-123",45.563300,-21.039600,180.000000,top
"D2","MBR0540","D_SOD-123",34.247600,-39.607000,0.000000,top
"D3","MBR0540","D_SOD-123",39.543500,-39.657800,0.000000,top
"D4","MBR0540","D_SOD-123",42.900000,-47.800000,180.000000,top
"D5","MBR0540","D_SOD-123",61.700000,-42.300000,180.000000,top
"D6","MBR0540","D_SOD-123",57.100000,-41.100000,90.000000,top
"J1","XF2M-3315-1A","CONN_ED097OC4",116.137200,-37.727400,270.000000,top
"J2","C10418","USB_Micro-B_A01SB141B1-067",30.463000,-21.065000,180.000000,top
"L1","22uH","L_6.3x6.3_H3",37.575000,-30.717000,90.000000,top
"L2","22uH","L_6.3x6.3_H3",39.175200,-23.173200,180.000000,top
"L3","22uH","L_6.3x6.3_H3",51.600000,-46.900000,180.000000,top
"L4","22uH","L_6.3x6.3_H3",36.800000,-46.700000,270.000000,top
"Q1","IRLML6402","SOT-23",55.100000,-35.000000,0.000000,top
"R2","10k","R_0805_2012Metric",54.212000,-29.066000,90.000000,top
"R3","10k","R_0805_2012Metric",51.799000,-29.066000,90.000000,top
"R4","2M","R_0805_2012Metric",51.087800,-21.738100,270.000000,top
"R5","120k","R_0805_2012Metric",51.087800,-25.230600,270.000000,top
"R6","560k","R_0805_2012Metric",42.655000,-36.688300,90.000000,top
"R7","39k","R_0805_2012Metric",42.655000,-33.180800,90.000000,top
"R8","10k","R_0805_2012Metric",51.900000,-34.900000,90.000000,top
"R9","10k","R_0805_2012Metric",49.800000,-34.900000,90.000000,top
"R10","10k","R_0805_2012Metric",79.662500,-49.500000,0.000000,top
"R11","470","R_0805_2012Metric",81.400000,-21.300000,180.000000,top
"R12","470","R_0805_2012Metric",68.400000,-48.400000,90.000000,top
"R13","10k","R_0805_2012Metric",97.773000,-24.430500,0.000000,top
"R14","390k","R_0805_2012Metric",63.700000,-21.700000,90.000000,top
"R15","10k","R_0805_2012Metric",93.724000,-24.430500,0.000000,top
"R16","300k","R_0805_2012Metric",42.200000,-44.762500,90.000000,top
"R17","27k","R_0805_2012Metric",44.500000,-44.762500,270.000000,top
"R18","300k","R_0805_2012Metric",61.300000,-39.300000,270.000000,top
"R19","28k","R_0805_2012Metric",63.500000,-39.300000,90.000000,top
"RESET1","SW1","SW_TS-1187A",62.400000,-47.600000,0.000000,top
"RV1","200k","EVM3ESX50B25",67.800000,-23.200000,270.000000,top
"U1","MCP1700-3302E_SOT23","SOT-23",57.200000,-21.800000,270.000000,top
"U2","LT1945","MSOP-10_3x3mm_P0.5mm",46.033200,-29.116800,180.000000,top
"U3","LT1945","MSOP-10_3x3mm_P0.5mm",51.400000,-40.200000,0.000000,top
"U5","ESP32-WROVER","ESP32-WROVER",76.259200,-37.727400,90.000000,top
"U6","CH330N","SOIC-8_3.9x4.9mm_P1.27mm",28.685000,-28.812000,270.000000,top
"U7","LM358","SOP-8_3.76x4.96mm_P1.27mm",61.162500,-26.895000,270.000000,top
"U8","74HC4094-normal","SOIC-16_3.9x9.9mm_P1.27mm",107.247200,-32.139400,270.000000,top
"U9","MCP9700AT-ETT","SOT-23",119.800000,-22.800000,90.000000,top
