Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0805_2012Metric",73.660000,-47.498000,0.000000,top
"C2","10uF","C_0805_2012Metric",78.800000,-39.900000,0.000000,top
"C3","10uF","C_0805_2012Metric",78.750000,-46.800000,180.000000,top
"C4","4.7uF","C_0805_2012Metric",73.660000,-45.224700,180.000000,top
"C5","4.7uF","C_0805_2012Metric",71.120000,-37.846000,-90.000000,top
"C6","22uF","C_0805_2012Metric",73.660000,-42.926000,180.000000,top
"C7","4.7uF","C_0805_2012Metric",68.834000,-37.846000,90.000000,top
"C8","4.7uF","C_0805_2012Metric",73.660000,-49.784000,180.000000,top
"C9","10uF","C_0805_2012Metric",73.660000,-40.640000,0.000000,top
"C10","22uF","C_0805_2012Metric",51.750000,-36.000000,-90.000000,top
"C11","4.7uF","C_0805_2012Metric",73.660000,-52.070000,180.000000,top
"C12","10uF","C_0805_2012Metric",61.722000,-38.862000,90.000000,top
"C13","1uF","C_0805_2012Metric",42.300000,-41.700000,180.000000,top
"C14","1uF","C_0805_2012Metric",42.200000,-35.900000,0.000000,top
"C15","100nF","C_0805_2012Metric",112.700000,-55.400000,-90.000000,top
"C16","10uF","C_0805_2012Metric",30.600000,-57.450000,90.000000,top
"C17","100uF","CP_EIA-3528-15_AVX-H",115.500000,-55.200000,90.000000,top
"C18","1uF","C_0805_2012Metric",113.200000,-59.900000,90.000000,top
"C19","10uF","C_0805_2012Metric",118.300000,-55.300000,-90.000000,top
"C20","10nF","C_0805_2012Metric",56.388000,-43.053000,0.000000,top
"C21","12pF","C_0805_2012Metric",88.300000,-22.000000,-90.000000,top
"C22","100nF","C_0805_2012Metric",34.600000,-56.750000,-90.000000,top
"C23","100nF","C_0805_2012Metric",34.600000,-60.550000,90.000000,top
"C24","4.7uF","C_0805_2012Metric",66.548000,-37.846000,90.000000,top
"C25","10nF","C_0805_2012Metric",56.388000,-50.673000,0.000000,top
"C26","4.7uF","C_0805_2012Metric",56.642000,-54.356000,90.000000,top
"C27","2.2uF","C_0805_2012Metric",47.498000,-44.450000,0.000000,top
"C28","4.7uF","C_0805_2012Metric",66.929000,-54.356000,90.000000,top
"C29","100nF","C_0805_2012Metric",56.388000,-48.260000,0.000000,top
"C30","100nF","C_0805_2012Metric",56.388000,-45.466000,180.000000,top
"C31","4.7uF","C_0805_2012Metric",69.088000,-54.356000,90.000000,top
"C32","10uF","C_0805_2012Metric",64.262000,-59.309000,90.000000,top
"C33","2.2uF","C_0805_2012Metric",47.498000,-50.800000,180.000000,top
"C34","1uF/50V","C_1206_3216Metric",117.225000,-63.000000,180.000000,top
"C35","1uF/25V","C_0805_2012Metric",122.647000,-21.030000,0.000000,top
"C36","1uF/50V","C_1206_3216Metric",122.000000,-55.500000,0.000000,top
"C37","1uF/25V","C_0805_2012Metric",122.650000,-24.957000,0.000000,top
"C38","1uF/25V","C_0805_2012Metric",122.600000,-17.221000,0.000000,top
"C39","100nF","C_0805_2012Metric",89.400000,-30.400000,-90.000000,top
"C40","100nF","C_0805_2012Metric",73.900000,-30.600000,0.000000,top
"C41","12pF","C_0805_2012Metric",81.800000,-22.000000,-90.000000,top
"C42","100nF","C_0805_2012Metric",38.400000,-32.500000,0.000000,top
"D1","MBR0540","D_SOD-123",64.262000,-37.338000,-90.000000,top
"D2","MBR0540","D_SOD-123",53.340000,-43.180000,90.000000,top
"D3","MBR0540","D_SOD-123",50.800000,-43.180000,-90.000000,top
"D4","MBR0540","D_SOD-123",64.389000,-54.991000,90.000000,top
"D5","MBR0540","D_SOD-123",53.340000,-52.324000,90.000000,top
"D6","MBR0540","D_SOD-123",50.800000,-52.324000,-90.000000,top
"D7","MBR0540","D_SOD-123",28.500000,-42.600000,90.000000,top
"D8","LED GREEN","LED_0805_2012Metric",37.045000,-60.599500,-90.000000,top
"D9","LED RED","LED_0805_2012Metric",39.458000,-60.599500,-90.000000,top
"D10","1N5817","D_SOD-123",35.700000,-41.200000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",29.140000,-30.300000,-90.000000,top
"J4","XF2M-3315-1A","CONN_ED097OC4",106.800000,-17.216750,0.000000,top
"L1","4.7uH","L_Taiyo-Yuden_NR-50xx_HandSoldering",57.658000,-37.084000,90.000000,top
"L2","2.2uH","L_Taiyo-Yuden_NR-40xx_HandSoldering",60.706000,-55.753000,90.000000,top
"Q1","AO3401A","SOT-23",31.950000,-42.450000,0.000000,top
"Q3","MMBT3904","SOT-23",51.800000,-22.225000,90.000000,top
"Q4","MMBT3904","SOT-23",51.700000,-29.200000,-90.000000,top
"R1","10k","R_0603_1608Metric",50.900000,-25.725000,-90.000000,top
"R2","5.1k","R_0603_1608Metric",37.600000,-36.300000,-90.000000,top
"R3","1k","R_0603_1608Metric",37.150000,-57.000000,-90.000000,top
"R4","10k","R_0603_1608Metric",73.900000,-28.600000,180.000000,top
"R5","0","R_0603_1608Metric",59.400000,-23.400000,180.000000,top
"R6","10k","R_0603_1608Metric",73.900000,-26.800000,180.000000,top
"R7","5.1k","R_0603_1608Metric",37.600000,-25.000000,90.000000,top
"R8","1k","R_0603_1608Metric",39.458000,-57.000000,-90.000000,top
"R9","6.8k","R_0603_1608Metric",36.350000,-45.150000,180.000000,top
"R10","10k","R_0603_1608Metric",110.700000,-55.600000,-90.000000,top
"R11","10k","R_0603_1608Metric",52.500000,-25.725000,90.000000,top
"R14","10k","R_0603_1608Metric",59.400000,-26.600000,0.000000,top
"R15","10k","R_0603_1608Metric",73.900000,-25.100000,0.000000,top
"R16","10k","R_0603_1608Metric",59.400000,-25.000000,0.000000,top
"R18","43k","R_0603_1608Metric",72.081200,-55.846600,90.000000,top
"R19","1M","R_0603_1608Metric",52.832000,-46.482000,180.000000,top
"R20","52.3k","R_0603_1608Metric",49.530000,-46.482000,180.000000,top
"R21","680k","R_0603_1608Metric",32.621000,-57.226000,-90.000000,top
"R22","150k","R_0603_1608Metric",32.621000,-60.500000,-90.000000,top
"R23","1M","R_0603_1608Metric",52.832000,-48.768000,180.000000,top
"R24","47.5k","R_0603_1608Metric",49.530000,-48.768000,180.000000,top
"R26","47k","R_0603_1608Metric",117.225000,-61.000000,180.000000,top
"R27","47k","R_0603_1608Metric",122.825000,-19.100000,0.000000,top
"R28","47k","R_0603_1608Metric",121.300000,-57.700000,0.000000,top
"R29","47k","R_0603_1608Metric",122.900000,-22.925000,0.000000,top
"R30","100k","R_0603_1608Metric",122.825000,-15.321000,0.000000,top
"R31","100k","R_0603_1608Metric",30.250000,-38.900000,180.000000,top
"R32","10k","R_0603_1608Metric",81.500000,-28.475000,-90.000000,top
"R33","10k","R_0603_1608Metric",73.900000,-23.350000,180.000000,top
"TH1","10k/3380K","R_0603_1608Metric",74.113200,-55.846600,-90.000000,top
"U1","RT9080-33GJ5","TSOT-23-5",78.800000,-43.400000,-90.000000,top
"U2","PCA9535PW","TSSOP-24_4.4x7.8mm_P0.65mm",66.650000,-25.962500,-90.000000,top
"U4","USBLC6-2P6","SOT-666",38.400000,-29.000000,0.000000,top
"U5","XC6206PxxxMR","SOT-23-3",42.200000,-38.800000,180.000000,top
"U6","ED078KH6","Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal",115.450000,-39.200000,90.000000,top
"U7","PCF8563T","SOIC-8_3.9x4.9mm_P1.27mm",85.150000,-28.600000,-90.000000,top
"U8","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",96.725000,-48.450000,180.000000,top
"U9","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",44.900000,-27.200000,0.000000,top
"U10","ED060XC5","X05A20H34G",106.500000,-24.600000,180.000000,top
"U11","TP4056","TP4056_SOP-8-PP",35.400000,-50.141000,-90.000000,top
"Y1","32.768K","Crystal_SMD_3215-2Pin_3.2x1.5mm",85.050000,-22.550000,0.000000,top
